"","dwc.scientificName","decimalLongitude","decimalLatitude","idigbio.isoCountryCode","dwc.individualCount","coreid","dwc.taxonRank","dwc.coordinateUncertaintyInMeters","year","dwc.basisOfRecord","dwc.institutionCode","species"
"383","leptodactylus ocellatus",-43.9333,-19.9167,NA,1,"048f4c6f-62ef-4649-95b6-98545f46ea9c","species",9115,NA,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"384","leptodactylus ocellatus",-45.9,-23.78,NA,1,"8cb2a373-6afe-40a2-b4a1-f6f6c7158cc7","species",NA,1976,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"385","leptodactylus validus",-61.33,2.5,NA,1,"d773dcf1-833a-4ab7-b5c4-1265e3adb8e0","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_validus"
"386","leptodactylus ocellatus",-45.9,-23.78,NA,1,"44928c2c-07bd-4c70-9e10-62cec18e6ada","species",NA,1976,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"387","leptodactylus fuscus",-56.6944,-20.1319,NA,1,"59102516-9b49-4da7-8ff4-c6bcb1c2c1d3","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_fuscus"
"388","adenomera marmorata",-43.35,-22.9167,NA,1,"9d5a6b12-9d59-4e7e-8a3d-1eb6729ac756","species",8115,NA,"preservedspecimen","usnm","Adenomera_marmorata"
"389","adenomera hylaedactyla",-66.0167,-2.5333,NA,1,"ac4823ae-ca6a-4484-8799-24eff4606a1a","species",20930,1973,"preservedspecimen","usnm","Adenomera_hylaedactyla"
"390","leptodactylus chaquensis",-56.6944,-20.1319,NA,1,"c5c72471-2c01-4374-bf49-260d8084aefb","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"391","leptodactylus ocellatus",-49.25,-25.4167,NA,1,"1856df14-58c5-44ca-bdf8-cc8fbfbefe5e","species",11990,1963,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"392","leptodactylus knudseni",-59.83,-2.33,NA,25,"0b2d8a05-f349-40e9-8aa9-bfb94aad0d6e","species",NA,1989,"preservedspecimen","usnm","Leptodactylus_knudseni"
